Time,APM1%CPU,APM1%MEM,APM2%CPU,APM2%MEM,APM3%CPU,APM3%MEM,APM4%CPU,APM4%MEM,APM5%CPU,APM5%MEM,APM6%CPU,APM6%MEM,
5,0.0,0.0,0.0,0.0,37.8,0.0,0.6,0.0,39.2,9.9,0.0,0.1,
10,0.0,0.0,0.0,0.0,37.7,0.0,0.2,0.0,35.0,9.9,0.0,0.2,
15,0.0,0.0,0.0,0.0,36.8,0.0,0.1,0.0,37.3,9.9,0.0,0.2,
20,0.0,0.0,0.0,0.0,38.2,0.0,0.1,0.0,38.6,9.9,0.0,0.2,
25,0.0,0.0,0.0,0.0,38.9,0.0,0.1,0.0,39.2,9.9,0.0,0.3,
30,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,38.6,9.9,0.0,0.3,
35,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,39.2,9.9,0.0,0.3,
40,0.0,0.0,0.0,0.0,42.2,0.0,0.0,0.0,36.5,0.0,0.0,0.4,
45,0.0,0.0,0.0,0.0,46.3,0.0,0.0,0.0,32.6,0.0,0.0,0.4,
50,0.0,0.0,0.0,0.0,49.6,0.0,0.0,0.0,29.5,0.0,0.0,0.5,
55,0.0,0.0,0.0,0.0,52.2,0.0,0.0,0.0,26.9,0.0,0.0,0.5,
60,0.0,0.0,0.0,0.0,54.4,0.0,0.1,0.0,24.7,0.0,0.0,0.5,
65,0.0,0.0,0.0,0.0,56.2,0.0,0.2,0.0,22.8,0.0,0.0,0.6,
70,0.0,0.0,0.0,0.0,54.2,0.0,0.5,0.0,21.3,0.0,0.0,0.6,
75,0.0,0.0,0.0,0.0,51.4,0.0,0.6,0.0,20.1,0.0,0.0,0.8,
80,0.0,0.0,0.0,0.0,48.2,0.0,0.8,0.0,18.9,0.0,0.0,0.8,
85,0.0,0.0,0.0,0.0,45.4,0.0,0.9,0.0,17.8,0.0,0.0,0.9,
90,0.0,0.0,0.0,0.0,43.4,0.0,1.0,0.0,17.0,0.0,0.0,0.9,
95,0.0,0.0,0.0,0.0,41.1,0.0,1.1,0.0,16.1,0.0,0.0,0.9,
