Time,APM 1 CPU,APM 1 Memory,APM 2 CPU,APM 2 Memory,APM 3 CPU,APM 3 Memory,APM 4 CPU,APM 4 Memory,APM 4 CPU,APM 4 Memory,APM 5 CPU,APM 5 Memory
5,0,0,0,0,41.8,0,0,0,43,3.2,0,0
10,0,0,0,0,44,0,0,0,44.6,3.2,0,0
15,0,0,0,0,44.9,0,0,0,45.2,3.2,0,0.1
20,0,0,0,0,45.2,0,0,0,45.4,3.2,0,0.1
25,0,0,0,0,46.7,0,0,0,45.3,3.2,0,0.1
30,0,0,0,0,46.4,0,0,0,45.2,3.2,0,0.2
35,0,0,0,0,50,0,0,0,42.1,0,0,0.2
40,0,0,0,0,54.7,0,0,0,36.6,0,0,0.2
45,0,0,0,0,59.5,0,0,0,33,0,0,0.2
50,0,0,0,0,62.3,0,0,0,29.5,0,0,0.2
55,0,0,0,0,65.5,0,0.1,0,27.2,0,0,0.3
60,0,0,0,0,66.9,0,0.3,0,24.8,0,0,0.3
65,0,0,0,0,62.3,0,0.5,0,23.1,0,0,0.3
70,0,0,0,0,58.3,0,0.7,0,21.6,0,0,0.3
75,0,0,0,0,54.8,0,0.9,0,20.3,0,0,0.3
80,0,0,0,0,51.1,0,1,0,18.9,0,0,0.3
85,0,0,0,0,48.4,0,1.2,0,17.9,0,0,0.4
90,0,0,0,0,46,0,1.3,0,18.3,4.7,0,0.4
95,0,0,0,0,43.3,0,1.4,0,22.1,4.7,0,0.5
100,0,0,0,0,43,0,1.4,0,23.6,4.7,0,0.5
105,0,0,0,0,43.4,0,1.5,0,24.7,4.7,0,0.6
110,0,0,0,0,43.5,0,1.6,0,25.7,4.7,0,0.6
115,0,0,0,0,43.5,0,1.6,0,26.6,4.7,0,0.6
120,0,0,0,0,43.7,0,1.7,0,27.4,0,0,0.6
125,0,0,0,0,45.4,0,1.7,0,26.2,0,0,0.7
130,0,0,0,0,47.2,0,1.8,0,25.3,0,0,0.7
135,0,0,0,0,48.6,0,1.8,0,24.3,0,0,0.7
140,0,0,0,0,49.9,0,1.8,0,23.3,0,0,0.8
145,0,0,0,0,51.5,0,1.9,0,22.6,0,0,0.8
150,0,0,0,0,52.6,0,1.9,0,21.8,0,0,0.8
155,0,0,0,0,51,0,2,0,21.2,0,0,0.8
160,0,0,0,0,49.6,0,2,0,20.6,0,0,0.9
165,0,0,0,0,48.3,0,2,0,20,0,0,0.9
170,0,0,0,0,46.7,0,2,0,19.4,0,0,0.9
175,0,0,0,0,45.5,0,2,0,18.9,0,0,0.9
180,0,0,0,0,44.4,0,2.1,0,19,4.8,0,0.9
185,0,0,0,0,43.1,0,2.1,0,21,4.8,0,1
